,Carbon Emmisions,Water Usage,Ethical Sourcing,Labor Rights,Transparency & Policy,DEI,Total,More Info,URL
A&F,44,0,27,12,12,0,16,https://directory.remake.world/wp-content/uploads/2022/11/Abercrombie-Fitch-9-22-22.pdf,https://www.abercrombie.com
Adidas Group,0,0,63,65,50,88,44,https://directory.remake.world/wp-content/uploads/2022/11/Adidas-2022-06-01.pdf,https://www.adidas.com
American Eagle Outfitters,0,0,0,44,37,0,14,https://directory.remake.world/wp-content/uploads/2022/11/American-Eagle-Outfitters-9-22-22.pdf,https://www.ae.com
Allbirds,44,0,40,52,69,0,34,https://directory.remake.world/wp-content/uploads/2022/11/Allbirds-10-11-2022.pdf,https://www.allbirds.com
Amazon,44,71,27,8,27,0,30,https://directory.remake.world/wp-content/uploads/2022/11/Amazon-9-22-22.pdf,https://www.amazon.com
URBN,0,0,0,44,42,75,27,https://directory.remake.world/wp-content/uploads/2022/11/URBN-09-23-2022.pdf,https://www.urbanoutfitters.com
Boohoo,44,0,0,79,71,0,32,https://directory.remake.world/wp-content/uploads/2022/11/Boohoo-Group-9-26-22.pdf,https://us.boohoo.com
Boyish Jeans,0,0,96,65,90,0,42,nan,https://www.boyish.com
Brother Vellies,0,0,0,38,73,98,35,nan,https://brothervellies.com
Burberry,0,71,77,81,73,90,65,https://directory.remake.world/wp-content/uploads/2022/11/Burberry-10-5-2022.pdf,https://us.burberry.com
C&A,44,0,40,52,44,0,30,nan,https://www.c-and-a.com
Christy Dawn,92,71,85,96,83,44,78,nan,https://christydawn.com/
Eileen Fisher,98,0,94,87,90,85,76,nan,https://www.eileenfisher.com/
Everlane,44,71,88,44,60,0,51,https://directory.remake.world/wp-content/uploads/2022/11/Everlane-10-6-2022.pdf,https://www.everlane.com/
Forever 21,0,0,40,0,0,0,7,https://directory.remake.world/wp-content/uploads/2022/11/Forever-21-9-30-22.pdf,https://www.forever21.com
Fashion Nova,0,0,0,25,19,58,17,https://directory.remake.world/wp-content/uploads/2022/11/FashionNova-9-29-2022.pdf,https://www.fashionnova.com/
Filippa K,0,0,0,56,81,90,38,nan,https://www.filippa-k.com/
Gap Inc.,44,0,27,21,12,75,30,https://directory.remake.world/wp-content/uploads/2022/11/Gap-Inc-GAP-Old-Navy-Banana-Republic-Athleta-9-30-2022.pdf,https://www.gap.com/
Girlfriend Collective,0,71,96,65,85,0,53,nan,https://girlfriend.com/
Gucci,0,90,63,83,77,44,60,https://directory.remake.world/wp-content/uploads/2022/11/Kering-10-23-2022.pdf,https://www.gucci.com
H&M Group,87,71,77,83,77,58,76,https://directory.remake.world/wp-content/uploads/2022/11/H-M-Group-10-10-2022.pdf,https://www2.hm.com/en_us
Inditex,44,0,63,65,54,58,47,https://directory.remake.world/wp-content/uploads/2022/11/Inditex-10-17-2022.pdf,https://www.inditex.com
J. Crew Inc.,0,0,54,29,33,58,29,https://directory.remake.world/wp-content/uploads/2022/11/J-Crew-Group-J-Crew-Madewell-10-1-2022.pdf,https://www.jcrew.com
JCPenney,0,0,0,29,19,0,8,https://directory.remake.world/wp-content/uploads/2022/11/JCPenney-10-1-2022.pdf,https://www.jcpenney.com
Kohl's,44,0,27,2,0,85,26,https://directory.remake.world/wp-content/uploads/2022/11/Kohl-s-10-3-2022.pdf,https://www.kohls.com/
