,Carbon Emmisions,Water Usage,Ethical Sourcing,Labor Rights,Transparency & Policy,DEI,Total,URL
A&F,44,0,27,12,12,0,16,https://www.abercrombie.com
Adidas Group,0,0,63,65,50,88,44,https://www.adidas.com
American Eagle Outfitters,0,0,0,44,37,0,14,https://www.ae.com
Allbirds,44,0,40,52,69,0,34,https://www.allbirds.com
Amazon,44,71,27,8,27,0,30,https://www.amazon.com
URBN,0,0,0,44,42,75,27,https://www.urbanoutfitters.com
Boohoo,44,0,0,79,71,0,32,https://us.boohoo.com
Boyish Jeans,0,0,96,65,90,0,42,https://www.boyish.com
Brother Vellies,0,0,0,38,73,98,35,https://brothervellies.com
Burberry,0,71,77,81,73,90,65,https://us.burberry.com
C&A,44,0,40,52,44,0,30,https://www.c-and-a.com
Christy Dawn,92,71,85,96,83,44,78,https://christydawn.com/
Eileen Fisher,98,0,94,87,90,85,76,https://www.eileenfisher.com/
Everlane,44,71,88,44,60,0,51,https://www.everlane.com/
Forever 21,0,0,40,0,0,0,7,https://www.forever21.com
Fashion Nova,0,0,0,25,19,58,17,https://www.fashionnova.com/
Filippa K,0,0,0,56,81,90,38,https://www.filippa-k.com/
Gap Inc.,44,0,27,21,12,75,30,https://www.gap.com/
Girlfriend Collective,0,71,96,65,85,0,53,https://girlfriend.com/
Gucci,0,90,63,83,77,44,60,https://www.gucci.com
H&M Group,87,71,77,83,77,58,76,https://www2.hm.com/en_us
Inditex,44,0,63,65,54,58,47,https://www.inditex.com
J. Crew Inc.,0,0,54,29,33,58,29,https://www.jcrew.com
JCPenney,0,0,0,29,19,0,8,https://www.jcpenney.com
Kohl's,44,0,27,2,0,85,26,https://www.kohls.com/
Levi Strauss,92,98,63,12,35,50,58,https://www.levi.com
Lululemon,0,0,27,12,12,0,8,https://shop.lululemon.com
Mara Hoffman,0,0,54,65,88,50,43,https://marahoffman.com/
M&S,44,0,63,94,63,58,54,https://www.marksandspencer.com/
Missguided,0,0,40,29,27,0,16,https://www.missguided.co.uk/
Mothercare,0,0,0,29,19,0,8,https://www.mothercare.com.sg/
MUD Jeans,44,90,87,92,96,58,78,https://mudjeans.eu/
Next,92,0,27,56,48,0,37,https://www.next.co.uk/
Nike,44,90,54,60,54,75,63,https://www.nike.com/
Nisolo,87,71,77,98,98,96,88,https://nisolo.com/
Patagonia,0,0,90,37,63,0,32,https://www.patagonia.com
Primark,0,0,40,65,54,0,26,https://www.primark.com
Ralph Lauren,87,71,63,62,44,75,67,https://www.ralphlauren.com/
Reformation,44,90,90,87,85,75,78,https://www.thereformation.com
Ross,44,0,0,2,0,0,8,https://www.rossstores.com/
SHEIN,44,0,63,38,37,50,39,https://us.shein.com
Stella McCartney,44,69,77,62,50,0,50,https://www.stellamccartney.com
Target,44,0,54,21,8,0,21,https://www.target.com
The Children's Place,44,0,0,2,10,0,9,https://www.childrensplace.com
The Edinburgh Woollen Mill,0,0,0,25,19,0,7,https://www.ewm.co.uk
TJX,44,0,0,8,0,0,9,https://www.tjx.com
Under Armour,0,0,0,12,17,50,13,https://www.underarmour.com/en-us
Fast Retailing (Uniqlo),44,71,40,65,60,48,55,https://www.uniqlo.com/us/en/
VEJA,44,71,54,90,94,94,74,https://www.veja-store.com
Victoria's Secret & Co,0,0,0,38,40,58,23,https://www.victoriassecret.com
Walmart,0,0,27,12,27,58,21,https://www.walmart.com
Zalando,44,0,40,44,63,58,42,https://www.zalando
